"","fly","class","order","family","genus.species","common.name","typical.diet","food.cat","mass","food","N_tot","total_transit","total_MRT","transit","MRT","re_class","transit_hrs","MRT_hrs","mass_kg"
"1","Y","Mammalia","Chiroptera","Pteropodidae","Eidolon helvum","Straw-colored fruit bat","frugivore/nectarivore","fruit/nectar/pollen",270.65,"fruit/nectar/pollen",20,2320,NA,116,NA,"Bats",1.93333333333333,NA,0.27065
"2","N","Mammalia","Perissodactyla","Equidae","Equus caballus","horse","folivore","fiber/foliage",563500,"fiber/foliage",21,77216.3522144,NA,3676.96915306667,NA,"Ungulates",61.2828192177778,NA,563.5
"3","N","Mammalia","Perissodactyla","Equidae","Equus caballus","horse","folivore","fiber/foliage",509000,"fiber/foliage",21,77216.3522144,NA,3676.96915306667,NA,"Ungulates",61.2828192177778,NA,509
"4","N","Mammalia","Perissodactyla","Equidae","Equus caballus","horse","folivore","fiber/foliage",528000,"fiber/foliage",21,77216.3522144,NA,3676.96915306667,NA,"Ungulates",61.2828192177778,NA,528
"5","N","Mammalia","Perissodactyla","Equidae","Equus caballus","horse","folivore","fiber/foliage",5e+05,"fiber/foliage",21,77216.3522144,NA,3676.96915306667,NA,"Ungulates",61.2828192177778,NA,500
"6","Y","Mammalia","Chiroptera","Phyllostomidae","Carollia perspicillata","Seba's short-tailed bat","frugivore/nectarivore","fruit/nectar/pollen",15,"fruit/nectar/pollen",24,553.2,NA,23.05,NA,"Bats",0.384166666666667,NA,0.015
"7","Y","Mammalia","Chiroptera","Phyllostomidae","Carollia perspicillata","Seba's short-tailed bat","frugivore/nectarivore","fruit/nectar/pollen",18,"fruit/nectar/pollen",24,553.2,NA,23.05,NA,"Bats",0.384166666666667,NA,0.018
"8","N","Reptilia","Squamata","Pythonidae","Python regius","Ball python","carnivore","label-solution",1300,"label-solution",18,56160,NA,3120,NA,"Reptiles",52,NA,1.3
"9","N","Mammalia","Primates","Hominidae","Pan paniscus","Bonobo","frugivore/nectarivore","fruit/nectar/pollen",39000,"fruit/nectar/pollen",19,27360,NA,1440,NA,"Primates",24,NA,39
"10","N","Mammalia","Lagomorpha","Leporidae","Oryctolagus cuniculus","domestic rabbit","folivore","fiber/foliage",1047,"fiber/foliage",65,25422,NA,391.107692307692,NA,"Lagomorphs",6.51846153846154,NA,1.047
"11","N","Mammalia","Lagomorpha","Leporidae","Oryctolagus cuniculus","domestic rabbit","folivore","fiber/foliage",2900,"fiber/foliage",65,25422,NA,391.107692307692,NA,"Lagomorphs",6.51846153846154,NA,2.9
"12","N","Mammalia","Lagomorpha","Leporidae","Oryctolagus cuniculus","domestic rabbit","folivore","fiber/foliage",1757,"fiber/foliage",65,25422,NA,391.107692307692,NA,"Lagomorphs",6.51846153846154,NA,1.757
"13","N","Mammalia","Lagomorpha","Leporidae","Oryctolagus cuniculus","domestic rabbit","folivore","fiber/foliage",1450,"fiber/foliage",65,25422,NA,391.107692307692,NA,"Lagomorphs",6.51846153846154,NA,1.45
"14","N","Mammalia","Primates","Cercopithecidae","Cercopithecus lhoesti ","L’Hoest’s monkey ","folivore","fiber/foliage",3550,"fiber/foliage",2,2832,3124,1416,1562,"Primates",23.6,26.0333333333333,3.55
"15","N","Mammalia","Primates","Cercopithecidae","Allenopithecus nigroviridis ","Allen’s swamp monkey ","folivore","fiber/foliage",9800,"fiber/foliage",3,3960,4239.9999,1320,1413.3333,"Primates",22,23.555555,9.8
"16","N","Mammalia","Carnivora","Mustelidae","Neovison vison","American mink","carnivore","protein",1347.5,"protein",19,3504.4,NA,184.442105263158,NA,"Carnivores",3.0740350877193,NA,1.3475
"17","N","Mammalia","Carnivora","Mustelidae","Neovison vison","American mink","carnivore","protein",8350,"protein",19,3504.4,NA,184.442105263158,NA,"Carnivores",3.0740350877193,NA,8.35
"18","N","Mammalia","Carnivora","Mustelidae","Mustela putorius furo","European ferret","carnivore","protein",1357,"protein",18,3272.4,NA,181.8,NA,"Carnivores",3.03,NA,1.357
"19","Y","Aves","Columbiformes","Columbidae","Columba livia","Rock dove","omnivore","label-solution",358.7,"label-solution",6,1620,NA,270,NA,"Flying Birds",4.5,NA,0.3587
"20","Y","Mammalia","Chiroptera","Pteropodidae","Cynopterus brachyotis","Lesser Short-nosed Fruit Bat","frugivore/nectarivore","fruit/nectar/pollen",37.3,"fruit/nectar/pollen",10,130,NA,13,NA,"Bats",0.216666666666667,NA,0.0373
"21","N","Mammalia","Lagomorpha","Leporidae","Oryctolagus cuniculus","domestic rabbit","folivore","label-solution",3100,"label-solution",7,1442,NA,206,NA,"Lagomorphs",3.43333333333333,NA,3.1
"22","Y","Aves","Passeriformes","Zosteropidae","Zosterops pallidus","Cape White-eye","omnivore","fruit/nectar/pollen",10.62,"fruit/nectar/pollen",20,475.5,NA,23.775,NA,"Flying Birds",0.39625,NA,0.01062
"23","Y","Aves","Passeriformes","Zosteropidae","Zosterops pallidus","Cape White-eye","omnivore","fruit/nectar/pollen",10.68,"fruit/nectar/pollen",20,475.5,NA,23.775,NA,"Flying Birds",0.39625,NA,0.01068
"24","Y","Aves","Passeriformes","Zosteropidae","Zosterops pallidus","Cape White-eye","omnivore","protein",10.19,"protein",10,117.2,NA,11.72,NA,"Flying Birds",0.195333333333333,NA,0.01019
"25","Y","Mammalia","Chiroptera","Vespertilionidae","Myotis lucifugus","little brown bat","insectivore","protein",9.5,"protein",2,205,NA,102.5,NA,"Bats",1.70833333333333,NA,0.0095
"26","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog","carnivore","protein",10000,"protein",38,61644,NA,1622.21052631579,NA,"Carnivores",27.0368421052632,NA,10
"27","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog","carnivore","protein",11550,"protein",38,61644,NA,1622.21052631579,NA,"Carnivores",27.0368421052632,NA,11.55
"28","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog","carnivore","protein",15500,"protein",38,61644,NA,1622.21052631579,NA,"Carnivores",27.0368421052632,NA,15.5
"29","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog","carnivore","protein",19300,"protein",38,61644,NA,1622.21052631579,NA,"Carnivores",27.0368421052632,NA,19.3
"30","N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog","carnivore","protein",11600,"protein",38,61644,NA,1622.21052631579,NA,"Carnivores",27.0368421052632,NA,11.6
"31","Y","Aves","Galliformes","Phasianidae","Gallus gallus domestics","domestic chicken","omnivore","fiber/foliage",2580.2,"fiber/foliage",233,41275.7333336,NA,177.149070101288,NA,"Flying Birds",2.95248450168813,NA,2.5802
"32","N","Mammalia","Primates","Lemuridae","Varecia variegata","black-and-white-ruffed lemur","frugivore/nectarivore","fiber/foliage",3622,"fiber/foliage",6,1423.8,2775.6,237.3,462.6,"Primates",3.955,7.71,3.622
"33","N","Mammalia","Primates","Lemuridae","Eulemur fulvus","common brown lemur ","frugivore/nectarivore","fiber/foliage",2258.6,"fiber/foliage",6,1152,3306.6,192,551.1,"Primates",3.2,9.185,2.2586
"34","N","Mammalia","Primates","Indriidae","Propithecus verreauxi coquereli ","Coquerel's sifaka","folivore","fiber/foliage",3396,"fiber/foliage",6,8830.8,12466.8,1471.8,2077.8,"Primates",24.53,34.63,3.396
"35","N","Mammalia","Primates","Lemuridae","Hapalemur griseus","Eastern lesser bamboo lemur","folivore","fiber/foliage",1050,"fiber/foliage",6,10900.8,16808.4,1816.8,2801.4,"Primates",30.28,46.69,1.05
"36","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus noctula","Noctule","insectivore","protein",27,"protein",10,658,NA,65.8,NA,"Bats",1.09666666666667,NA,0.027
"37","Y","Mammalia","Chiroptera","Vespertilionidae","Nyctalus noctula","Noctule","insectivore","protein",27.5,"protein",10,658,NA,65.8,NA,"Bats",1.09666666666667,NA,0.0275
"38","N","Mammalia","Carnivora","Mustelidae","Lutra canadensus","Northern river otter","carnivore","protein",9500,"protein",12,2424,NA,202,NA,"Carnivores",3.36666666666667,NA,9.5
"39","N","Reptilia","Testudines","Cheloniidae","Caretta caretta","Loggerhead sea turtle","omnivore","label-solution",10187.5,"label-solution",8,204480,NA,25560,NA,"Reptiles",426,NA,10.1875
"40","Y","Aves","Accipitriformes","Accipitridae","Buteo jamaicensis","Red-tailed hawks","carnivore","label-solution",1009.5,"label-solution",9,900,NA,100,NA,"Flying Birds",1.66666666666667,NA,1.0095
