fly,class,order,family,genus.species,common.name,sum_mass,typical.diet,N_tot,total_transit,total_MRT,transit,MRT,avg_mass,re_class,transit_hrs,MRT_hrs,mass_kg,phylo_name
N,Aves,Sphenisciformes,Spheniscidae,Spheniscus demersus,African penguin,3100,carnivore,12,12672,NA,1056,NA,258.3333333,Non-Flying Birds,17.6,NA,0.258333333,Spheniscus_demersus
N,Aves,Struthioniformes,Dromaiidae,Dromaius novaehollandiae,emu,99000,omnivore,6,NA,471,NA,78.5,16500,Non-Flying Birds,NA,1.308333333,16.5,Dromaius_novaehollandiae
N,Aves,Struthioniformes,Rheidae,Rhea americana,greater rhea,72000,omnivore,15,NA,11310,NA,754,4800,Non-Flying Birds,NA,12.56666667,4.8,Rhea_americana
N,Aves,Struthioniformes,Struthionidae,Struthio camelus,common ostrich,383558,omnivore,28,10800,33444,385.7142857,1194.428571,13698.5,Non-Flying Birds,6.428571429,19.90714286,13.6985,Struthio_camelus
N,Mammalia,Artiodactyla,Bovidae,Bison bonasus,European bison,376000,folivore,4,NA,6948,NA,1737,94000,Ungulates,NA,28.95,94,Bison_bonasus
N,Mammalia,Artiodactyla,Bovidae,Bos taurus,cow,3474000,folivore,24,18922.28571,40460.57143,788.4285714,1685.857143,144750,Ungulates,13.14047619,28.09761905,144.75,Bos_taurus
N,Mammalia,Artiodactyla,Bovidae,Capra hircus,domestic goat,31000,folivore,27,81864,81864,3032,3032,1148.148148,Ungulates,50.53333333,50.53333333,1.148148148,Capra_hircus
N,Mammalia,Artiodactyla,Bovidae,Kobus ellipsiprymnus,waterbuck,347000,folivore,10,NA,20265,NA,2026.5,34700,Ungulates,NA,33.775,34.7,Kobus_ellipsiprymnus
N,Mammalia,Artiodactyla,Bovidae,Litocranius walleri,gerenuk,74000,folivore,2,NA,4686,NA,2343,37000,Ungulates,NA,39.05,37,Litocranius_walleri
N,Mammalia,Artiodactyla,Bovidae,Oryx leucoryx,Arabian oryx,140000,folivore,2,NA,4488,NA,2244,70000,Ungulates,NA,37.4,70,Oryx_leucoryx
N,Mammalia,Artiodactyla,Bovidae,Ovis aries,domestic sheep,77200,folivore,14,11880,34080,848.5714286,2434.285714,5514.285714,Ungulates,14.14285714,40.57142857,5.514285714,Ovis_aries
N,Mammalia,Artiodactyla,Bovidae,Tragelaphus angasii,nyala,128000,folivore,12,NA,21636,NA,1803,10666.66667,Ungulates,NA,30.05,10.66666667,Tragelaphus_angasii
N,Mammalia,Artiodactyla,Bovidae,Tragelaphus eurycerus,bongo,366000,folivore,6,NA,12690,NA,2115,61000,Ungulates,NA,35.25,61,Tragelaphus_eurycerus
N,Mammalia,Artiodactyla,Bovidae,Tragelaphus spekii,sitatunga,1.00E+05,folivore,8,NA,17808,NA,2226,12500,Ungulates,NA,37.1,12.5,Tragelaphus_spekii
N,Mammalia,Artiodactyla,Camelidae,Llama glama,llama,2500,folivore,6,19800,NA,3300,NA,416.6666667,Ungulates,55,NA,0.416666667,Lama_glama
N,Mammalia,Artiodactyla,Cervidae,Alces alces,moose,560285.7142,folivore,24,NA,48394.28572,NA,2016.428572,23345.23809,Ungulates,NA,33.60714286,23.34523809,Alces_alces
N,Mammalia,Artiodactyla,Giraffidae,Giraffa camelopardalis,giraffe,1330400,folivore,24,NA,54712.8,NA,2279.7,55433.33333,Ungulates,NA,37.995,55.43333333,Giraffa
N,Mammalia,Artiodactyla,Giraffidae,Okapia johnstoni,Okapi,290000,folivore,4,4050,NA,1012.5,NA,72500,Ungulates,16.875,NA,72.5,Okapia_johnstoni
