fly,class,order,family,genus.species,common.name,sum_mass,trial.diet,N_tot,total_transit,transit,avg_mass,re_class,transit_hrs,mass_kg,phylo_name
N,Mammalia,Artiodactyla,Bovidae,Bos taurus,cow,2114000,fiber/foliage,20,18922.28571,946.1142857,105700,Ungulates,15.76857143,105.7,Bos_taurus
N,Mammalia,Artiodactyla,Bovidae,Capra hircus,domestic goat,31000,fiber/foliage,27,81864,3032,1148.148148,Ungulates,50.53333333,1.148148148,Capra_hircus
N,Mammalia,Artiodactyla,Bovidae,Ovis aries,domestic sheep,77200,fiber/foliage,14,11880,848.5714286,5514.285714,Ungulates,14.14285714,5.514285714,Ovis_aries
N,Mammalia,Artiodactyla,Camelidae,Lama glama,llama,2500,protein,6,19800,3300,416.6666667,Ungulates,55,0.416666667,Lama_glama
N,Mammalia,Artiodactyla,Giraffidae,Okapia johnstoni,Okapi,290000,fiber/foliage,4,4050,1012.5,72500,Ungulates,16.875,72.5,Okapia_johnstoni
N,Mammalia,Artiodactyla,Monodontidae,Delphinapterus leucas,beluga whale,718333.3333,meat,3,36540,12180,239444.4444,Ungulates,203,239.4444444,Delphinapterus_leucas
N,Mammalia,Artiodactyla,Suidae,Sus scrofa,pig,507000,fiber/foliage,30,43630.8,1454.36,16900,Ungulates,24.23933333,16.9,Sus_scrofa
N,Mammalia,Carnivora,Canidae,Canis familiaris,domestic dog,11339.825,fiber/foliage,5,2166,433.2,2267.965,Carnivores,7.22,2.267965,Canis_lupus
N,Mammalia,Carnivora,Canidae,Canis familiaris,domestic dog,11550,meat,6,10980,1830,1925,Carnivores,30.5,1.925,Canis_lupus
N,Mammalia,Carnivora,Canidae,Canis familiaris,domestic dog,68000,protein,32,50664,1583.25,2125,Carnivores,26.3875,2.125,Canis_lupus
N,Mammalia,Carnivora,Felidae,Felis catus,domestic cat,11495,protein,50,75514.2,1510.284,229.9,Carnivores,25.1714,0.2299,Felis_catus
N,Mammalia,Carnivora,Mustelidae,Lutra canadensus,Northern river otter,9500,protein,12,2424,202,791.6666667,Carnivores,3.366666667,0.791666667,Lontra_canadensis
N,Mammalia,Carnivora,Mustelidae,Martes melampus,Japanese marten,1400,meat,4,1776,444,350,Carnivores,7.4,0.35,Martes_melampus
N,Mammalia,Carnivora,Mustelidae,Mustela putorius furo,European ferret,1357,protein,18,3272.4,181.8,75.38888889,Carnivores,3.03,0.075388889,Mustela_putorius
N,Mammalia,Carnivora,Mustelidae,Neovison vison,American mink,9697.5,protein,19,3504.4,184.4421053,510.3947368,Carnivores,3.074035088,0.510394737,Neogale_vison
N,Mammalia,Primates,Cebidae,Callithrix jacchus,common marmoset,696,fruit/nectar/pollen,6,1296,216,116,Primates,3.6,0.116,Callithrix_jacchus
N,Mammalia,Primates,Cercopithecidae,Allenopithecus nigroviridis,Allen’s swamp monkey ,9800,fiber/foliage,3,3960,1320,3266.666667,Primates,22,3.266666667,Allenopithecus_nigroviridis
N,Mammalia,Primates,Cercopithecidae,Cercopithecus albogularis schwarzi,samango monkey,5350,fruit/nectar/pollen,2,2505,1252.5,2675,Primates,20.875,2.675,Cercopithecus_albogularis
N,Mammalia,Primates,Cercopithecidae,Cercopithecus ascanius,Red-tailed monkey,8785,fruit/nectar/pollen,3,3600,1200,2928.333333,Primates,20,2.928333333,Cercopithecus_ascanius
N,Mammalia,Primates,Cercopithecidae,Cercopithecus erythrotis,Red-eared guenon,3585,fruit/nectar/pollen,1,1236,1236,3585,Primates,20.6,3.585,Cercopithecus_erythrotis
N,Mammalia,Primates,Cercopithecidae,Cercopithecus lhoesti,L’Hoest’s monkey ,3550,fiber/foliage,2,2832,1416,1775,Primates,23.6,1.775,Allochrocebus_lhoesti
N,Mammalia,Primates,Cercopithecidae,Cercopithecus mitis,Blue monkey,8600,fruit/nectar/pollen,2,2028,1014,4300,Primates,16.9,4.3,Cercopithecus_mitis
N,Mammalia,Primates,Cercopithecidae,Cercopithecus neglectus,De Brazza's monkey,6500,fruit/nectar/pollen,2,2472,1236,3250,Primates,20.6,3.25,Cercopithecus_neglectus
N,Mammalia,Primates,Cercopithecidae,Cercopithecus pogonias,Crested mona monkey,3300,fruit/nectar/pollen,2,1992,996,1650,Primates,16.6,1.65,Cercopithecus_pogonias
N,Mammalia,Primates,Cercopithecidae,Cercopithecus talapoin,Talapoin monkey,1600,fruit/nectar/pollen,2,1440,720,800,Primates,12,0.8,Miopithecus_talapoin
N,Mammalia,Primates,Cercopithecidae,Lophocebus albigena,Gray-cheecked mangabey,5300,fruit/nectar/pollen,2,2724,1362,2650,Primates,22.7,2.65,Lophocebus_albigena
N,Mammalia,Primates,Cercopithecidae,Macaca fuscata,Japanese macaque,8600,fruit/nectar/pollen,5,6600,1320,1720,Primates,22,1.72,Macaca_fuscata
N,Mammalia,Primates,Cercopithecidae,Rhinopithecus bieti,Snub-Nosed Monkey,11750,fiber/foliage,3,5400,1800,3916.666667,Primates,30,3.916666667,Rhinopithecus_bieti
N,Mammalia,Primates,Cercopithecidae,Rhinopithecus bieti,Snub-Nosed Monkey,11750,fruit/nectar/pollen,3,4680,1560,3916.666667,Primates,26,3.916666667,Rhinopithecus_bieti
N,Mammalia,Primates,Hominidae,Pan paniscus,Bonobo,39000,fruit/nectar/pollen,19,27360,1440,2052.631579,Primates,24,2.052631579,Pan_paniscus
N,Mammalia,Primates,Hominidae,Pan troglodytes,Chimpanzee,58400,fruit/nectar/pollen,2,2784,1392,29200,Primates,23.2,29.2,Pan_troglodytes
N,Mammalia,Primates,Hominidae,Pongo pygmaeus,Bornean orangutan,213891.6667,fruit/nectar/pollen,12,36228,3019,17824.30556,Primates,50.31666667,17.82430556,Pongo_pygmaeus
N,Mammalia,Primates,Indriidae,Propithecus coquereli,Coquerel's sifaka,3396,fiber/foliage,6,8830.8,1471.8,566,Primates,24.53,0.566,Propithecus_coquereli
N,Mammalia,Primates,Lemuridae,Eulemur fulvus,common brown lemur ,2258.6,fiber/foliage,6,1152,192,376.4333333,Primates,3.2,0.376433333,Eulemur_coronatus
N,Mammalia,Primates,Lemuridae,Hapalemur griseus,Eastern lesser bamboo lemur,1050,fiber/foliage,6,10900.8,1816.8,175,Primates,30.28,0.175,Hapalemur_aureus
N,Mammalia,Primates,Lemuridae,Varecia variegata,black-and-white-ruffed lemur,3622,fiber/foliage,6,1423.8,237.3,603.6666667,Primates,3.955,0.603666667,Varecia_variegata
N,Mammalia,Primates,Pitheciidae,Pithecia pithecia,white-faced saki,1712.5,fiber/foliage,4,3504,876,428.125,Primates,14.6,0.428125,Pithecia_pithecia
N,Mammalia,Rodentia,Caviidae,Cavia porcellus,guinea pig,5212,fiber/foliage,56,15359.4,274.275,93.07142857,Rodents,4.57125,0.093071429,Cavia_porcellus
N,Mammalia,Rodentia,Caviidae,Dolichotis patagonum,Patagonian mara,14800,fiber/foliage,6,3600,600,2466.666667,Rodents,10,2.466666667,Dolichotis_patagonum
N,Mammalia,Rodentia,Cricetidae,Lasiopodomys brandtii,Brandt's vole,4.9,fruit/nectar/pollen,11,495,45,0.445454545,Rodents,0.75,0.000445455,Lasiopodomys_brandtii
N,Mammalia,Rodentia,Cricetidae,Mesocricetus auratus,hamster,210,fiber/foliage,14,6084,434.5714286,15,Rodents,7.242857143,0.015,Mesocricetus_auratus
N,Mammalia,Rodentia,Cricetidae,Microtus townsendii,Townsend vole,109.8,protein,12,1224,102,9.15,Rodents,1.7,0.00915,Microtus_townsendii
N,Mammalia,Rodentia,Cricetidae,Phyllotis darwini,Darwin's leaf-eared mouse,162,fiber/foliage,12,3564,297,13.5,Rodents,4.95,0.0135,Phyllotis_magister
N,Mammalia,Rodentia,Echimyidae,Myocastor coypus,nutria,8800,fiber/foliage,10,3240,324,880,Rodents,5.4,0.88,Myocastor_coypus
N,Mammalia,Rodentia,Muridae,Meriones unguiculatus,Mongolian gerbils,51.3,fiber/foliage,11,742.5,67.5,4.663636364,Rodents,1.125,0.004663636,Meriones_unguiculatus
N,Mammalia,Rodentia,Muridae,Rattus norvegicus,common rat,590,fiber/foliage,12,4752,396,49.16666667,Rodents,6.6,0.049166667,Rattus_norvegicus
N,Mammalia,Rodentia,Octodontidae,Octodon degus,degu,354,fiber/foliage,16,4944,309,22.125,Rodents,5.15,0.022125,Octodon_degus
N,Mammalia,Rodentia,Sciuridae,Marmota caligata,hoary marmot,4616,protein,12,10836,903,384.6666667,Rodents,15.05,0.384666667,Marmota_caligata
N,Mammalia,Rodentia,Sciuridae,Spermophilus columbianus,Columbian ground squirrel,1152,protein,12,8856,738,96,Rodents,12.3,0.096,Urocitellus_columbianus
N,Mammalia,Rodentia,Sciuridae,Tamias amoenus,yellow-pine chipmunk,123.8,protein,12,3420,285,10.31666667,Rodents,4.75,0.010316667,Tamias_amoenus
N,Reptilia,Squamata,Agamidae,Pogona vitticeps,Bearded dragon,243.4,protein,7,13020,1860,34.77142857,Reptiles,31,0.034771429,Pogona_vitticeps
N,Reptilia,Squamata,Boidae,Corallus caninus,emerald tree boa,1500,meat,8,292608,36576,187.5,Reptiles,609.6,0.1875,Corallus_caninus
N,Reptilia,Squamata,Boidae,Python molurus,Indian python,91000,meat,7,352800,50400,13000,Reptiles,840,13,Python_molurus
N,Reptilia,Squamata,Colubridae,Elaphe obsoleta,black rat snake,500,meat,10,37440,3744,50,Reptiles,62.4,0.05,Pantherophis_obsoletus
N,Reptilia,Squamata,Colubridae,Uromacer oxyrhynchus,pointed snake,NA,meat,2,5184,2592,NA,Reptiles,43.2,NA,Uromacer_oxyrhynchus
N,Reptilia,Squamata,Cordylidae,Cordylus melanotus,common crag lizard,47.6,protein,19,164491.17,8657.43,2.505263158,Reptiles,144.2905,0.002505263,Pseudocordylus_microlepidotus
N,Reptilia,Squamata,Iguanidae,Iguana iguana ,Green iguana,2350,fiber/foliage,5,18720,3744,470,Reptiles,62.4,0.47,Iguana_iguana
N,Reptilia,Squamata,Lacertidae,Podarcis erhardii,Aegean wall lizard,5.78,protein,47,122200,2600,0.122978723,Reptiles,43.33333333,0.000122979,Podarcis_erhardii
N,Reptilia,Squamata,Scincidae,Trachylepis margaritifer,Rainbow Skinks,37.3,protein,15,40725,2715,2.486666667,Reptiles,45.25,0.002486667,Trachylepis_margaritifera
N,Reptilia,Squamata,Viperidae,Atheris nitscheri,Great Lakes bush viper,NA,meat,3,31104,10368,NA,Reptiles,172.8,NA,Atheris_squamigera
N,Reptilia,Squamata,Viperidae,Bitis arietans,puff ader,945.4,meat,5,212400,42480,189.08,Reptiles,708,0.18908,Bitis_arietans
N,Reptilia,Squamata,Viperidae,Bitis gabonica,Gaboon viper,1172,meat,8,1324800,165600,146.5,Reptiles,2760,0.1465,Bitis_gabonica
N,Reptilia,Testudines,Chelidae,Emydura macquarii,Australian short-necked turtle,4000,fiber/foliage,8,90720,11340,500,Reptiles,189,0.5,Emydura_macquarii
N,Reptilia,Testudines,Chelidae,Emydura macquarii,Australian short-necked turtle,4000,meat,8,38160,4770,500,Reptiles,79.5,0.5,Emydura_macquarii
N,Reptilia,Testudines,Cheloniidae,Caretta caretta,Loggerhead sea turtle,14380,meat,8,152640,19080,1797.5,Reptiles,318,1.7975,Caretta_caretta
N,Reptilia,Testudines,Cheloniidae,Caretta caretta,Loggerhead sea turtle,13300,protein,22,286704,13032,604.5454545,Reptiles,217.2,0.604545455,Caretta_caretta
N,Reptilia,Testudines,Cheloniidae,Chelonia mydas,green sea turtle,12200,meat,13,181497.6,13961.35385,938.4615385,Reptiles,232.6892308,0.938461538,Chelonia_mydas
N,Reptilia,Testudines,Emydidae,Terrapene carolina,Florida box Turtle,359.5,fruit/nectar/pollen,11,236148,21468,32.68181818,Reptiles,357.8,0.032681818,Terrapene_ornata
N,Reptilia,Testudines,Emydidae,Trachemys scripta elegans,Red-eared Slider Turtle,566.5,fiber/foliage,8,59520,7440,70.8125,Reptiles,124,0.0708125,Trachemys_scripta_elegans
N,Reptilia,Testudines,Testudinidae,Stigmochelys pardalis,leopard tortoise,11650,fiber/foliage,6,36720,6120,1941.666667,Reptiles,102,1.941666667,Stigmochelys_pardalis
