can_fly,Class,Order,phylo_dist,Family,Genus.species,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Y,Mammalia,Chiroptera,188.00000000,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,frugivore/nectarivore,17.30000000,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120.00000000,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon,,Yes
Y,Mammalia,Chiroptera,188.00000000,Molossidae,Molossus molossus,Velvety free-tailed bat,insectivore,10.70000000,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120.00000000,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon; formerly called Molossus major,,Yes
Y,Mammalia,Chiroptera,188.00000000,Mormoopidae,Pteronotus rubiginosus,Parnell's mustached bat,insectivore,24.10000000,mean as reported in paper,"dye introduced through intubation, then track by lethal sampling at periodic intervals",unknown,5,1,"5 bats killed at 5 diff time points; first site of dye in colon; reported value at death in which ""some dye was still visible"" in all guts",,,,120.00000000,,,,,,,,Klite 1965,bats killed at 120 still had some dye in colon; formerly called Chilonycteris rubiginosa,,Yes
N,Reptilia,Testudines,637.90000000,Cheloniidae,Caretta caretta,Loggerhead sea turtle,omnivore,10187.50000000,average of reported weights,60% weight-by-volume suspension,unknown,8,1,first excretia of marker,11520.00000000,16200.00000000,22320.00000000,25560.00000000,28080.00000000,57600.00000000,14900.45000000,,,,,Di Bello et al 2006,calculated all values from table; Turtles in this study had GI disease which could exacerbate these durations,,Yes
Y,Aves,Psittaciformes,637.90000000,Psittacidae,Psittacus erithacus,African grey parrot,omnivore,446.00000000,reported mean,30% weight-by-volume suspension,unknown,8,,first excretia of marker,240.00000000,,,262.50000000,,360.00000000,44.64000000,,,,,Kubiak and Forbes 2012,,,Yes
N,Reptilia,Squamata,637.90000000,Pythonidae,Python regius,Ball python,carnivore,1300.00000000,,35% weight-by-volume suspension,unknown,6,,first excretia of marker (barium sulfate),,,,2880.00000000,,,910.20000000,,,,,Banzato et al. 2012,measurements correspond to end of small intestine transit time (i.e. all material is now in large intestine) so should be somewhat shorter than full gut transit,,Yes
N,Reptilia,Squamata,637.90000000,Pythonidae,Python regius,Ball python,carnivore,1300.00000000,,25% weight-by-volume suspension,unknown,6,,first excretia of marker (barium sulfate),,,,3360.00000000,,,744.00000000,,,,,Banzato et al. 2012,,,Yes
N,Reptilia,Squamata,637.90000000,Pythonidae,Python regius,Ball python,carnivore,1300.00000000,,45% weight-by-volume suspension,unknown,6,,first excretia of marker (barium sulfate),,,,3120.00000000,,,588.00000000,,,,,Banzato et al. 2012,,,Yes
N,Aves,Struthioniformes,637.90000000,Struthionidae,Struthio camelus,common ostrich,omnivore,56558.00000000,(averaged weights included chicks),25-100% weight-by-volume suspension,unknown,10,,first excretia of marker,840.00000000,,,1080.00000000,,1320.00000000,,,,,,Wagner et al 2003,"exact transit times not reported because feces passed during the night; 7 individuals, but counting each trial as an individual (see paper)",,Yes
N,Reptilia,Squamata,637.90000000,Agamidae,Pogona vitticeps,Bearded dragon,omnivore,243.40000000,average of reported weights,"35% weight-by-volume suspension; leafy greens, crickets, mealworms",protein,7,,visible marker in colon,720.00000000,,1860.00000000,,,4320.00000000,,,,,,Grosset et al 2014,"""median time for contrast to reach the colon""",,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,10000.00000000,reported mean,meat-heavy dog food with layered protein,protein,4,4,"TT: transit time, time from feeding to mean marker excretion",,,,1983.00000000,,,,,,,,Burrows et al 1962,took mean of fiber-heavy and pure protein diet,,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,15500.00000000,median of range reported in paper (13-18kg),"eggs, bacon, milk, butter, bread",protein,6,1,Gastrointestinal transit time: from ingestion to first appearance of marker in feces,,,,1809.00000000,,,222.00000000,,,,,Koziolek et al 2019,"took reported average of control ""fed"" and ""fasted"" diets",,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,19300.00000000,reported mean of control dogs in study,canned food mixtures,protein,8,4,Whole gut transit time: average time from ingestion to defecation,,,,1554.00000000,,,264.00000000,,,,,Rolfe et al 2002,used mean reported from controls for all 4 diets,,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,11600.00000000,reported median,pH pill/marker ,protein,7,3,transit time: first excretia of marker,244.00000000,,1070.00000000,,,1430.00000000,439.00000000,,,,,Tolbert et al. 2022,reported median for pre-feeding group,,Yes
N,Mammalia,Carnivora,188.00000000,Canidae,Canis familiaris,domestic dog,carnivore,11600.00000000,reported median,pet food with pH pill/marker ,protein,7,3,transit time: first excretia of marker,539.00000000,,1708.00000000,,,2743.00000000,513.00000000,,,,,Tolbert et al. 2022,reported median for post-feeding group,,Yes
N,Reptilia,Testudines,637.90000000,Cheloniidae,Caretta caretta,Loggerhead sea turtle,omnivore,13300.00000000,average of reported range for 22 turtles: 4.4-22.2 kg,foam marker inside fish,protein,22,1,first marker in feces (T1),7200.00000000,,,13032.00000000,,23040.00000000,4392.00000000,,,,,Valente et al 2008,,,Yes
N,Reptilia,Squamata,637.90000000,Cordylidae,Cordylus melanotus,common crag lizard,omnivore,47.60000000,"took mean from masses off of plot: 29.52, 35.72, 37.93, 39.59, 39.45, 37.38, 42.34, 44.28, 44.14, 45.38, 49.66, 50.62, 56.41, 56.69, 55.03, 54.62, 56.83, 64.41, 65.24",colored beads in mealworms,protein,19,1,transit time: time from beginning of feeding to first sight of marker in feces,3672.00000000,5810.00000000,8006.40000000,8657.43000000,10260.00000000,19641.60000000,4017.54000000,,,,,McConnachie and Alexander 2004,"ripped transit time dots from Fig 2 across all temperature; took quantile of whole dataset (days): 8.05, 6.07,  7.08,  8.56, 11.01, 13.64,  6.02,  4.68,  3.62,  3.94,  3.99,  4.08,  3.06,  2.55,  4.96,  5.56,  5.60,  4.59  7.17",,Yes
Y,Aves,Galliformes,637.90000000,Phasianidae,Coturnix coturnix japonica,Japanese quail,omnivore,144.00000000,median of female + male,four treatments of different energy quality (low and high)  nitrogen in a sort of meal mash w/ ferrix oxide,protein,64,1,first excretia of marker,52.00000000,,,78.00000000,,105.25000000,,6.19000000,,428.00000000,2.00000000,Nobrega et al 2020,,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Eptesicus fuscus,Big Brown Bat,insectivore,17.23000000,,"cottage cheese, banana, hard-boiled egg mixed with 10% barium sulfate",protein,22,1,"TT: transit time, time from feeding to first appearance of marker in feces",90.00000000,,,122.00000000,,,16.00000000,,,,,Luckens et al. 1971,reported mean,,Yes
Y,Mammalia,Chiroptera,188.00000000,Vespertilionidae,Eptesicus serotinus,Serotine bat,insectivore,23.10000000,reported mean,fluorescent mealworm,protein,5,1,Transit time: time from feeding marker to first appearance of marker in feces,40.00000000,,88.00000000,,,112.00000000,,,174.00000000,,,Roswag et al. 2012,as reported in table 2,,Yes
