Genus species,can_fly,Class,Order,phylo_dist,Family,phylo_name,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
Acanthagenys refogularis,Y,Aves,Passeriformes,637.9,Meliphagidae,Acanthagenys_rufogularis,spiny cheeked honeyeater,omnivore,54.5,https://birdsoftheworld.org/bow/species/spchon1/cur/introduction,Amyema quandang (mistletoe) fruit with dye,fruit/nectar/pollen,6,1,Gut Passage Time: mean of eating to mean time of defecation,15.81666667,,,40.56666667,,84.16666667,,0.6,,,,Murphy et al 1993,not quite MGT (mean time of eating to mean defecation) but comparable,,Yes
Accipiter gentilis,Y,Aves,Falconiformes,,Accipitridae,Accipiter_gentilis,goshawk,carnivore,997.5,Accipiter gentilis (northern goshawk) | INFORMATION | Animal Diversity Web,lab mice,meat,4,1,meal to pellet interval,,,,21.59,,,2.54,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-10","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Acciter nisus,Y,Aves,Accipitriformes,,Accipitridae,Accipiter_nisus,sparrowhawk,carnivore,219.5,,"cockerel, pigeon, rabbit",meat,2,1,transit time,,,,,,,,,378,0,,"Barton NWH, Houston DC (1993) The influence of gut morphology on digestion time in raptors. Comparative Biochemistry and Physiology A 105:571–582",,time,n
Acinonyx jubatus,N,Mammalia,Carnivora,,Felidae,Acinonyx_jubatus,cheetah,carnivore,32170,,unknown,unknown,,,MRT,,,,,,,,,1520.4,,,Leemans et al. (2015),obtained from De Cuyper et al 2020,N,N
Acridotheres cristatellus,Y,Aves,Passeriformes,,Sturnidae,Acridotheres_cristatellus,crested-myna,omnivore,125,Crested Myna Bird Facts (Acridotheres cristatellus) | Birdfact,P. suberosa fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,16,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-275",MRT estimated from figure 30,time,no
Acridotheres cristatellus,Y,Aves,Passeriformes,,Sturnidae,Acridotheres_cristatellus,crested-myna,omnivore,125,Crested Myna Bird Facts (Acridotheres cristatellus) | Birdfact,M. paniculata fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,18,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-276",MRT estimated from figure 31,time,no
Acridotheres cristatellus,Y,Aves,Passeriformes,,Sturnidae,Acridotheres_cristatellus,crested-myna,omnivore,125,Crested Myna Bird Facts (Acridotheres cristatellus) | Birdfact,A. squamulosa fruit,fruit/nectar/pollen,6,1,retention time,,,,,,,,,19,,,"Shi TT, Wang B, Quan RC (2015) Effects of frugivorous birds on seed retention time and germination in Xishuangbanna, southwest China. Zoological Research 36:241-277",MRT estimated from figure 32,time,no
Addax nasomaculatus,N,Mammalia,Artiodactyla,,Bovidae,Addax_nasomaculatus,addax,folivore,87000,,"grass hay, rye/wheatbran + Co-EDTA liquid marker",fiber/foliage,8,1,MRT in GIT,,,,,,,,,2160,252,,Hummel et al. (2008),"MRT- GIT, fluid",N,N
Addax nasomaculatus,N,Mammalia,Artiodactyla,,Bovidae,Addax_nasomaculatus,addax,folivore,87000,,"grass hay, rye/wheatbran + Co-EDTA liquid marker",fiber/foliage,8,1,MRT in RR,,,,,,,,,1200,348,,Hummel et al. (2008),"MRT- RR (reticulo-rumen), fluid",N,N
Addax nasomaculatus,N,Mammalia,Artiodactyla,,Bovidae,Addax_nasomaculatus,addax,folivore,87000,,"grass hay, rye/wheatbran + Cr particle marker",fiber/foliage,8,1,MRT in GIT,,,,,,,,,3540,486,,Hummel et al. (2008),"MRT- GIT, particle",N,N
Addax nasomaculatus,N,Mammalia,Artiodactyla,,Bovidae,Addax_nasomaculatus,addax,folivore,87000,,"grass hay, rye/wheatbran + Cr particle marker",fiber/foliage,8,1,MRT in RR,,,,,,,,,2520,420,,Hummel et al. (2008),"MRT- RR, particle",N,N
Adropadus milanjenis,Y,Aves,Passeriformes,,Pyconotidae,,stripe-cheeked greenbul,frugivore/nectivore,45,,X. monospora fruits,fruit/nectar/pollen,90,1,gut passage time,,24,33,,55,,,,,,,"Lehouck V, Spanhove T, Demeter S, Groot NE, Lens L (2009) Complementary seed dispersal by three avian frugivores in a fragmented Afromontane forest. Journal of Vegetation Science 20:1110-1120",,"gut, passage, time",n
Aegolius acadicus,Y,Aves,Stringiformes,,Stringidae,Aegolius,saw-whet owl,carnivore,75,Aegolius acadicus (northern saw-whet owl) | INFORMATION | Animal Diversity Web,lab mice,meat,1,1,meal to pellet interval,,,,10.04,,,0.63,,,,,"Duke GE, Evanson OA, Jegers A (1976) Meal to pellet intervals in 14 species of captive raptors. Comparative Biochemistry and Physiology A 53:1-18","some birds were fed at two different times, this did not seem to have any significant impact on the excretion time (so with the exception of the caracara which was only fed at 1100) all numbers reflected are from the 0900 feeding",,n
Ailurus fulgens,N,Mammalia,Carnivora,,Ailuridae,Ailurus,red panda,herbivore,5130,Red panda - Wikipedia,bamboo,fiber/foliage,3,2,passage time,120,,,180,,240,,,,,,"Wei F, Feng Z, Wang Z, Zhou A, Hu J. Use of the nutrients in bamboo by the red panda (Ailurus fulgens). Journal of Zoology. 1999;248(4):535-541.",,transit,N
Alca torda,Y,Aves,Charadriiformes,,Alcidae,Alca_torda,razorbill,carnivore,606,,lesser sandeel,meat,5,1,mean retention time,,,,,,,,,271.2,7.8,,"Hilton GM, Houston DC, Furness RW (1998) Which components of diet quality affect retention time of digesta in seabirds? Functional Ecology 12:929-945",,"gut,time",n
Alca torda,Y,Aves,Charadriiformes,,Alcidae,Alca_torda,razorbill,carnivore,606,,small whiting,meat,5,1,mean retention time,,,,,,,,,335.4,23.4,,"Hilton GM, Houston DC, Furness RW (1998) Which components of diet quality affect retention time of digesta in seabirds? Functional Ecology 12:929-946",,"gut,time",n
Alca torda,Y,Aves,Charadriiformes,,Alcidae,Alca_torda,razorbill,carnivore,606,,sandeel,meat,,1,mean retention time,,,,49.7,,,12.3,,350.4,18,,"Hilton GM, Furness RW, Houston DC (2000) A comparative study of digestion in North Atlantic seabirds. Journal of Avian Biology 31:36-58",could not find number of birds,"gut, passage, time",n
Alca torda,Y,Aves,Charadriiformes,,Alcidae,Alca_torda,razorbill,carnivore,606,,whiting,meat,,1,mean retention time,,,,68.5,,,11.2,,444,67.2,,"Hilton GM, Furness RW, Houston DC (2000) A comparative study of digestion in North Atlantic seabirds. Journal of Avian Biology 31:36-59",could not find number of birds,"gut, passage, time",n
Alces alces,N,Mammalia,Artiodactyla,188,Cervidae,Alces_alces,moose,folivore,280142.86,,wheat brain + Co-EDTA,fiber/foliage,12,,mean retention time,,,,,,,,,1750.285714,2.157142857,,Przybylo et al 2019,,no,No
Alces alces,N,Mammalia,Artiodactyla,188,Cervidae,Alces_alces,moose,folivore,280142.86,,wheat brain + chromium mordanted fiber,fiber/foliage,12,,mean retention time,,,,,,,,,2282.571429,3.514285714,,Przybylo et al 2019,,no,No
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,herbivore,353000,,diet pellet,fiber/foliage,4,1,transit time/retention time,,,,792,,,126,,2292,60,,"Schwartz CC, Regelin WL, Franzmann AW, White RG, Holleman DF (1988) Food passage rate in moose. Alces 24:97-101",,rate,no
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,herbivore,347000,,aspen leaves and pellets,fiber/foliage,3,1,transit time/retention time,,,,780,,,90,,2280,108,,"Schwartz CC, Regelin WL, Franzmann AW, White RG, Holleman DF (1988) Food passage rate in moose. Alces 24:97-102",,rate,no
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,herbivore,419000,,mixed browse,fiber/foliage,4,1,transit time/retention time,,,,948,,,114,,3216,174,,"Schwartz CC, Regelin WL, Franzmann AW, White RG, Holleman DF (1988) Food passage rate in moose. Alces 24:97-103",,rate,no
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,browse + Co-EDTA fluid marker,fiber/foliage,2,1,MRT,,,,,,,,,1980,300,,Lechner et al. (2010),did not include winter browse mix,N,N
Alces alces,N,Mammalia,Artiodactyla,,Cervidae,Alces_alces,moose,folivore,520500,animaldiversity.org,browse + 2mm Cr particle marker,fiber/foliage,2,1,MRT,,,,,,,,,2340,300,,Lechner et al. (2010),did not include winter browse mix,N,N
