"","fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class"
"1","Y","Aves","Accipitriformes","Accipitridae","Acciter nisus","sparrowhawk",219.5,"meat",2,756,378,109.75,"Flying Birds"
"2","N","Mammalia","Carnivora","Felidae","Acinonyx jubatus","cheetah",32170,"unknown",1,1520.4,1520.4,32170,"Carnivora"
"3","Y","Aves","Passeriformes","Sturnidae","Acridotheres cristatellus","crested-myna",375,"fruit/nectar/pollen",18,318,17.6666666666667,20.8333333333333,"Flying Birds"
"4","N","Mammalia","Artiodactyla","Bovidae","Addax nasomaculatus","addax",348000,"fiber/foliage",32,75360,2355,10875,"Artiodactyla"
"5","Y","Aves","Charadriiformes","Alcidae","Alca torda","razorbill",2424,"meat",12,3827.4,318.95,202,"Flying Birds"
"6","N","Mammalia","Artiodactyla","Cervidae","Alces alces","moose",5843285.7142,"fiber/foliage",51,131386.285716,2576.20168070588,114574.229690196,"Artiodactyla"
"7","N","Mammalia","Primates","Cercopithecidae","Allenopithecus nigroviridis","Allen’s swamp monkey",9800,"fiber/foliage",3,4239.9999,1413.3333,3266.66666666667,"Primates"
"8","Y","Aves","Anseriformes","Anatidae","Alopochen aegyptiaca","Egyptian goose",NA,"fiber/foliage",70,20274,289.628571428571,NA,"Flying Birds"
"9","N","Mammalia","Primates","Atelidae","Alouatta caraya ","black howler monkey",16220,"fiber/foliage",6,10224,1704,2703.33333333333,"Primates"
"10","N","Mammalia","Primates","Atelidae","Alouatta palliata","mantled howler monkey",36900,"fiber/foliage",12,22788,1899,3075,"Primates"
"11","N","Mammalia","Primates","Atelidae","Alouatta sara","Bolivian red howler monkey",49080,"fiber/foliage",12,29952,2496,4090,"Primates"
"12","Y","Aves","Anseriformes","Anatidae","Anas crecca","Eurasian Teal",720,"fiber/foliage",6,5752.8,958.8,120,"Flying Birds"
"13","Y","Aves","Anseriformes","Anatidae","Anas erthrorhyncha","Red-billed teal",3850,"fiber/foliage",70,12786,182.657142857143,55,"Flying Birds"
"14","Y","Aves","Anseriformes","Anatidae","Anas platyrhynchos","mallard duck",NA,"fiber/foliage",66,33081.2,501.230303030303,NA,"Flying Birds"
"15","Y","Aves","Anseriformes","Anatidae","Anas platyrhynchos","mallard duck",1120,"meat",6,2772,462,186.666666666667,"Flying Birds"
"16","Y","Aves","Anseriformes","Anatidae","Anser anser","Goose",NA,"fiber/foliage",18,2952,164,NA,"Flying Birds"
"17","Y","Aves","Anseriformes","Anatidae","Anser anser","Greylag Goose",NA,"fiber/foliage",40,24720,618,NA,"Flying Birds"
"18","Y","Aves","Anseriformes","Anseranatidae","Anseranas semipalmata","Australian magpie goose",5000,"fiber/foliage",10,3420,342,500,"Flying Birds"
"19","N","Mammalia","Artiodactyla","Bovidae","Antilope cervicapra","blackbuck",52000,"fiber/foliage",10,26700,2670,5200,"Artiodactyla"
"20","N","Aves","Sphenisciformes","Spheniscidae","Aptenodytes patagonicus","king penguin",40950,"meat",15,18300,1220,2730,"Non-Flying Birds"
"21","N","Mammalia","Diprotodontia","Potoroidae","Apyprymnus rufescens","Rat Kangaroo",7440,"fiber/foliage",22,31560,1434.54545454545,338.181818181818,"Diprotodontia"
"22","N","Mammalia","Carnivora","Viverridae","Arctictis binturong","binturong",18900,"protein",4,1560,390,4725,"Carnivora"
