"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_transit","transit","avg_mass","re_class","transit_hrs","mass_kg","phylo_name"
"Acanthagenys refogularis","Y","Aves","Passeriformes","Meliphagidae","spiny cheeked honeyeater",54.5,"fruit/nectar/pollen",6,243.40000002,40.56666667,9.08333333333333,"Flying Birds",0.676111111166667,0.00908333333333333,"Acanthagenys_rufogularis"
"Accipiter gentilis","Y","Aves","Falconiformes","Accipitridae","goshawk",997.5,"meat",4,86.36,21.59,249.375,"Flying Birds",0.359833333333333,0.249375,"Accipiter_gentilis"
"Adropadus milanjenis","Y","Aves","Passeriformes","Pyconotidae","stripe-cheeked greenbul",45,"fruit/nectar/pollen",90,2970,33,0.5,"Flying Birds",0.55,5e-04,""
"Aegolius acadicus","Y","Aves","Stringiformes","Stringidae","saw-whet owl",75,"meat",1,10.04,10.04,75,"Flying Birds",0.167333333333333,0.075,"Aegolius"
"Ailurus fulgens","N","Mammalia","Carnivora","Ailuridae","red panda",5130,"fiber/foliage",3,540,180,1710,"Carnivores",3,1.71,"Ailurus"
"Alca torda","Y","Aves","Charadriiformes","Alcidae","razorbill",1212,"meat",2,118.2,59.1,606,"Flying Birds",0.985,0.606,"Alca_torda"
"Alces alces","N","Mammalia","Artiodactyla","Cervidae","moose",1119000,"fiber/foliage",11,9300,845.454545454545,101727.272727273,"Even-toed Ungulates",14.0909090909091,101.727272727273,"Alces_alces"
"Allenopithecus nigroviridis","N","Mammalia","Primates","Cercopithecidae","Allen’s swamp monkey",9800,"fiber/foliage",3,3960,1320,3266.66666666667,"Primates",22,3.26666666666667,"Allenopithecus_nigroviridis"
"Alophoixus pallidus","Y","Aves","Passeriformes","Pyconotidae","Puff-throated Bulbul",42.7,"fruit/nectar/pollen",2,88,44,21.35,"Flying Birds",0.733333333333333,0.02135,"Alophoixus_pallidus"
"Alouatta caraya ","N","Mammalia","Primates","Atelidae","black howler monkey",16220,"fiber/foliage",6,4680,780,2703.33333333333,"Primates",13,2.70333333333333,"Alouatta_caraya"
"Alouatta palliata","N","Mammalia","Primates","Atelidae","mantled howler monkey",36900,"fiber/foliage",12,7560,630,3075,"Primates",10.5,3.075,"Alouatta_palliata"
