"fly","class","order","family","genus.species","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg"
"Y","Aves","Accipitriformes","Accipitridae","Acciter nisus","sparrowhawk",219.5,"meat",2,756,378,109.75,"Flying Birds",6.3,0.10975
"N","Mammalia","Carnivora","Felidae","Acinonyx jubatus","cheetah",32170,"unknown",1,1520.4,1520.4,32170,"Carnivora",25.34,32.17
"Y","Aves","Passeriformes","Sturnidae","Acridotheres cristatellus","crested-myna",375,"fruit/nectar/pollen",18,318,17.6666666666667,20.8333333333333,"Flying Birds",0.294444444444444,0.0208333333333333
"N","Mammalia","Artiodactyla","Bovidae","Addax nasomaculatus","addax",348000,"fiber/foliage",32,75360,2355,10875,"Even-toed Ungulates",39.25,10.875
"Y","Aves","Charadriiformes","Alcidae","Alca torda","razorbill",2424,"meat",12,3827.4,318.95,202,"Flying Birds",5.31583333333333,0.202
"N","Mammalia","Artiodactyla","Cervidae","Alces alces","moose",5843285.72,"fiber/foliage",51,131386.285716,2576.20168070588,114574.229803922,"Even-toed Ungulates",42.9366946784314,114.574229803922
"N","Mammalia","Primates","Cercopithecidae","Allenopithecus nigroviridis","Allen’s swamp monkey",9800,"fiber/foliage",3,4239.9999,1413.3333,3266.66666666667,"Primates",23.555555,3.26666666666667
"Y","Aves","Anseriformes","Anatidae","Alopochen aegyptiaca","Egyptian goose",15540,"fiber/foliage",70,20274,289.628571428571,222,"Flying Birds",4.82714285714286,0.222
"N","Mammalia","Primates","Atelidae","Alouatta caraya ","black howler monkey",16220,"fiber/foliage",6,10224,1704,2703.33333333333,"Primates",28.4,2.70333333333333
"N","Mammalia","Primates","Atelidae","Alouatta palliata","mantled howler monkey",36900,"fiber/foliage",12,22788,1899,3075,"Primates",31.65,3.075
"N","Mammalia","Primates","Atelidae","Alouatta sara","Bolivian red howler monkey",49080,"fiber/foliage",12,29952,2496,4090,"Primates",41.6,4.09
"Y","Aves","Anseriformes","Anatidae","Anas crecca","Eurasian Teal",720,"fiber/foliage",6,5752.8,958.8,120,"Flying Birds",15.98,0.12
"Y","Aves","Anseriformes","Anatidae","Anas erthrorhyncha","Red-billed teal",3850,"fiber/foliage",70,12786,182.657142857143,55,"Flying Birds",3.04428571428571,0.055
"Y","Aves","Anseriformes","Anatidae","Anas platyrhynchos","mallard duck",9260,"fiber/foliage",66,33081.2,501.230303030303,140.30303030303,"Flying Birds",8.35383838383838,0.14030303030303
"Y","Aves","Anseriformes","Anatidae","Anas platyrhynchos","mallard duck",1120,"meat",6,2772,462,186.666666666667,"Flying Birds",7.7,0.186666666666667
"Y","Aves","Anseriformes","Anatidae","Anser anser","Goose",9900,"fiber/foliage",18,2952,164,550,"Flying Birds",2.73333333333333,0.55
"Y","Aves","Anseriformes","Anatidae","Anser anser","Greylag Goose",13240,"fiber/foliage",40,24720,618,331,"Flying Birds",10.3,0.331
"Y","Aves","Anseriformes","Anseranatidae","Anseranas semipalmata","Australian magpie goose",5000,"fiber/foliage",10,3420,342,500,"Flying Birds",5.7,0.5
"N","Mammalia","Artiodactyla","Bovidae","Antilope cervicapra","blackbuck",52000,"fiber/foliage",10,26700,2670,5200,"Even-toed Ungulates",44.5,5.2
"N","Aves","Sphenisciformes","Spheniscidae","Aptenodytes patagonicus","king penguin",40950,"meat",15,18300,1220,2730,"Non-Flying Birds",20.3333333333333,2.73
"N","Mammalia","Carnivora","Viverridae","Arctictis binturong","binturong",18900,"protein",4,1560,390,4725,"Carnivora",6.5,4.725
"N","Mammalia","Rodentia","Microtinae","Arvicola terrestris","water vole",990,"fiber/foliage",19,9480,498.947368421053,52.1052631578947,"Rodents",8.31578947368421,0.0521052631578947
"N","Mammalia","Primates","Atelidae","Ateles belzebuth","spider monkey",8500,"fruit/nectar/pollen",17,4590,270,500,"Primates",4.5,0.5
"N","Mammalia","Artiodactyla","Bovidae","Bison bison","bison",609000,"fiber/foliage",2,9456,4728,304500,"Even-toed Ungulates",78.8,304.5
"N","Mammalia","Artiodactyla","Bovidae","Bison bonasus","European bison",376000,"fiber/foliage",4,6948,1737,94000,"Even-toed Ungulates",28.95,94
"Y","Aves","Passeriformes","Bombycillidae","Bombycilla cedrorum","Cedar Waxwing",336,"fruit/nectar/pollen",81,2603.03,32.1361728395062,4.14814814814815,"Flying Birds",0.535602880658436,0.00414814814814815
"Y","Aves","Passeriformes","Bombycillidae","Bombycilla cedrorum","cedar waxwing",155,"fruit/nectar/pollen",35,1768.5,50.5285714285714,4.42857142857143,"Flying Birds",0.842142857142857,0.00442857142857143
"N","Mammalia","Artiodactyla","Bovidae","Bos grunniens","yak",650000,"fiber/foliage",2,9384,4692,325000,"Even-toed Ungulates",78.2,325
"N","Mammalia","Artiodactyla","Bovidae","Bos javanicus","banteng",1459998,"fiber/foliage",18,91080,5060,81111,"Even-toed Ungulates",84.3333333333333,81.111
"N","Mammalia","Artiodactyla","Bovidae","Bos taurus","cow",17109178,"fiber/foliage",185,482831.571428,2609.9003860973,92482.0432432432,"Even-toed Ungulates",43.4983397682883,92.4820432432432
"N","Mammalia","Artiodactyla","Bovidae","Bos taurus","domestic cattle",1510000,"fiber/foliage",6,19620,3270,251666.666666667,"Even-toed Ungulates",54.5,251.666666666667
"N","Mammalia","Artiodactyla","Bovidae","Bos taurus","Domestic cattle",755000,"fiber/foliage",6,23904,3984,125833.333333333,"Even-toed Ungulates",66.4,125.833333333333
"N","Mammalia","Artiodactyla","Bovidae","Bos taurus","large heifer",1120000,"fiber/foliage",6,249,41.5,186666.666666667,"Even-toed Ungulates",0.691666666666667,186.666666666667
"N","Mammalia","Artiodactyla","Bovidae","Bos taurus","small heifer",480000,"fiber/foliage",4,136,34,120000,"Even-toed Ungulates",0.566666666666667,120
"N","Mammalia","Artiodactyla","Bovidae","Bos taurus","Droughtmaster steer",6780000,"fiber/foliage",16,39456,2466,423750,"Even-toed Ungulates",41.1,423.75
"N","Mammalia","Artiodactyla","Bovinae","Bos taurus","Cattle",2100000,"fruit/nectar/pollen",15,46578,3105.2,140000,"Even-toed Ungulates",51.7533333333333,140
"N","Mammalia","Artiodactyla","Bovidae","Bos taurus","steer",3500000,"fiber/foliage",25,51768,2070.72,140000,"Even-toed Ungulates",34.512,140
"N","Mammalia","Artiodactyla","Bovidae","Boselaphus tragocamelus","nilgai",336000,"fiber/foliage",10,24600,2460,33600,"Even-toed Ungulates",41,33.6
"N","Mammalia","Artiodactyla","Bovidae","Bubalus bubalis","swamp buffalo",5250028,"fiber/foliage",32,87096,2721.75,164063.375,"Even-toed Ungulates",45.3625,164.063375
"N","Mammalia","Artiodactyla","Bovidae","Bubalus bubalis","water buffalo",417100,"fiber/foliage",4,6943.2,1735.8,104275,"Even-toed Ungulates",28.93,104.275
"N","Mammalia","Artiodactyla","Bovidae","Bubalus depressicornis","lowland anoa",180000,"fiber/foliage",8,15360,1920,22500,"Even-toed Ungulates",32,22.5
"N","Mammalia","Artiodactyla","Bovinae","Bulbalus bubalis","Buffalo",1275000,"fruit/nectar/pollen",10,26352,2635.2,127500,"Even-toed Ungulates",43.92,127.5
"Y","Aves","Accipitriformes","Accipitridae","Buteo buteo","common buzzard",848,"meat",4,1975.2,493.8,212,"Flying Birds",8.23,0.212
"N","Mammalia","Primates","Cebidae","Callithrix jacchus","common marmoset",696,"fruit/nectar/pollen",6,4896,816,116,"Primates",13.6,0.116
"N","Mammalia","Primates","Callitrichidae","Callithrix jacchus","common marmoset",766,"protein",26,27651,1063.5,29.4615384615385,"Primates",17.725,0.0294615384615385
"N","Mammalia","Artiodactyla","Camelidae","Camelus bactrianus","Bactrian camel",4006000,"fiber/foliage",28,96672,3452.57142857143,143071.428571429,"Even-toed Ungulates",57.5428571428571,143.071428571429
"N","Mammalia","Artiodactyla","Camelidae","Camelus dromedarius","dromedary camel",675000,"fiber/foliage",12,53304,4442,56250,"Even-toed Ungulates",74.0333333333333,56.25
"N","Mammalia","Carnivora","Canidae","Canis familiaris","domestic dog",11550,"meat",6,7470,1245,1925,"Carnivora",20.75,1.925
"N","Mammalia","Carnivora","Canidae","Canis familiaris","dog",12200,"protein",6,6840,1140,2033.33333333333,"Carnivora",19,2.03333333333333
"N","Mammalia","Artiodactyla","Bovidae","Capra hircus","domestic goat",255000,"fiber/foliage",51,150120,2943.52941176471,5000,"Even-toed Ungulates",49.0588235294118,5
"N","Mammalia","Artiodactyla","Bovidae","Capra hircus","Domestic Goat",9000,"fiber/foliage",12,29520,2460,750,"Even-toed Ungulates",41,0.75
"N","Mammalia","Artiodactyla","Bovidae","Capra hircus","goat",180200,"fiber/foliage",22,33735,1533.40909090909,8190.90909090909,"Even-toed Ungulates",25.5568181818182,8.19090909090909
"N","Mammalia","Artiodactyla","Bovidae","Capra nubiana","Nunian ibex",166400,"fiber/foliage",16,33336,2083.5,10400,"Even-toed Ungulates",34.725,10.4
"N","Mammalia","Artiodactyla","Cervidae","Capreolus capreolus","roe deer",138900,"fiber/foliage",16,99942,6246.375,8681.25,"Even-toed Ungulates",104.10625,8.68125
"N","Mammalia","Rodentia","Castoridae","Castor canadensis","North American beaver",28000,"fiber/foliage",16,25800,1612.5,1750,"Rodents",26.875,1.75
"N","Mammalia","Rodentia","Caviidae","Cavia porcellus","guinea pig",12150,"fiber/foliage",58,66648.6,1149.11379310345,209.48275862069,"Rodents",19.1518965517241,0.20948275862069
"N","Mammalia","Perissodactyla","Rhinocerotidae","Cerathotherium simum","White Rhino",8900000,"fiber/foliage",14,21458,1532.71428571429,635714.285714286,"Odd-toed Ungulates",25.5452380952381,635.714285714286
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus ascanius","Red-tailed monkey",8785,"fruit/nectar/pollen",3,4866,1622,2928.33333333333,"Primates",27.0333333333333,2.92833333333333
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus erythrotis","Red-eared guenon",3585,"fruit/nectar/pollen",1,1602,1602,3585,"Primates",26.7,3.585
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus lhoesti","L’Hoest’s monkey",3550,"fiber/foliage",2,3124,1562,1775,"Primates",26.0333333333333,1.775
"N","Mammalia","Primates","Cercopithecidae","Cercopithecus mitis","Blue monkey",8600,"fruit/nectar/pollen",2,3000,1500,4300,"Primates",25,4.3
