"genus.species","fly","class","order","family","common.name","sum_mass","trial.diet","N_tot","total_MRT","MRT","avg_mass","re_class","MRT_hrs","mass_kg","phylo_name"
"Acciter nisus","Y","Aves","Accipitriformes","Accipitridae","sparrowhawk",219.5,"meat",2,756,378,109.75,"Flying Birds",6.3,0.10975,"Accipiter_nisus"
"Acinonyx jubatus","N","Mammalia","Carnivora","Felidae","cheetah",32170,"unknown",1,1520.4,1520.4,32170,"Carnivora",25.34,32.17,"Acinonyx_jubatus"
"Acridotheres cristatellus","Y","Aves","Passeriformes","Sturnidae","crested-myna",375,"fruit/nectar/pollen",18,318,17.6666666666667,20.8333333333333,"Flying Birds",0.294444444444444,0.0208333333333333,"Acridotheres_cristatellus"
"Addax nasomaculatus","N","Mammalia","Artiodactyla","Bovidae","addax",348000,"fiber/foliage",32,75360,2355,10875,"Even-toed Ungulates",39.25,10.875,"Addax_nasomaculatus"
"Alca torda","Y","Aves","Charadriiformes","Alcidae","razorbill",2424,"meat",12,3827.4,318.95,202,"Flying Birds",5.31583333333333,0.202,"Alca_torda"
"Alces alces","N","Mammalia","Artiodactyla","Cervidae","moose",5843285.72,"fiber/foliage",51,131386.285716,2576.20168070588,114574.229803922,"Even-toed Ungulates",42.9366946784314,114.574229803922,"Alces_alces"
"Allenopithecus nigroviridis","N","Mammalia","Primates","Cercopithecidae","Allen’s swamp monkey",9800,"fiber/foliage",3,4239.9999,1413.3333,3266.66666666667,"Primates",23.555555,3.26666666666667,"Allenopithecus_nigroviridis"
"Alopochen aegyptiaca","Y","Aves","Anseriformes","Anatidae","Egyptian goose",15540,"fiber/foliage",70,20274,289.628571428571,222,"Flying Birds",4.82714285714286,0.222,"Alopochen_aegyptiaca"
"Alouatta caraya ","N","Mammalia","Primates","Atelidae","black howler monkey",16220,"fiber/foliage",6,10224,1704,2703.33333333333,"Primates",28.4,2.70333333333333,"Alouatta_caraya"
"Alouatta palliata","N","Mammalia","Primates","Atelidae","mantled howler monkey",36900,"fiber/foliage",12,22788,1899,3075,"Primates",31.65,3.075,"Alouatta_palliata"
"Alouatta sara","N","Mammalia","Primates","Atelidae","Bolivian red howler monkey",49080,"fiber/foliage",12,29952,2496,4090,"Primates",41.6,4.09,"Alouatta_sara"
"Anas crecca","Y","Aves","Anseriformes","Anatidae","Eurasian Teal",720,"fiber/foliage",6,5752.8,958.8,120,"Flying Birds",15.98,0.12,"Anas_crecca"
"Anas erthrorhyncha","Y","Aves","Anseriformes","Anatidae","Red-billed teal",3850,"fiber/foliage",70,12786,182.657142857143,55,"Flying Birds",3.04428571428571,0.055,"Anas_erythrorhyncha"
"Anas platyrhynchos","Y","Aves","Anseriformes","Anatidae","mallard duck",9260,"fiber/foliage",66,33081.2,501.230303030303,140.30303030303,"Flying Birds",8.35383838383838,0.14030303030303,"Anas_platyrhynchos"
