genus.species,phylo_name
Acanthagenys refogularis,Acanthagenys_rufogularis
Accipiter gentilis,Accipiter_gentilis
Acciter nisus,Accipiter_nisus
Acinonyx jubatus,Acinonyx_jubatus
Acridotheres cristatellus,Acridotheres_cristatellus
Addax nasomaculatus,Addax_nasomaculatus
Adropadus milanjenis,
Aegolius acadicus,Aegolius
Ailurus fulgens,Ailurus
Alca torda,Alca_torda
Alces alces,Alces_alces
Allenopithecus nigroviridis,Allenopithecus_nigroviridis
Alophoixus pallidus,Alophoixus_pallidus
Alopochen aegyptiaca,Alopochen_aegyptiaca
Alouatta caraya ,Alouatta_caraya
Alouatta palliata,Alouatta_palliata
Alouatta palliata mexicana,Alouatta_palliata
Alouatta pigra,Alouatta_pigra
Alouatta sara,Alouatta_sara
Anas crecca,Anas_crecca
Anas erthrorhyncha,Anas_erythrorhyncha
Anas platyrhynchos,Anas_platyrhynchos
Anoura geoffroyi,Anoura_geoffroyi
Anser anser,Anser_anser
Anseranas semipalmata,Anseranas_semipalmata
Antechinus swainsonii,Antechinus_swainsonii
Antilope cervicapra,Antilope_cervicapra
Aptenodytes patagonicus,Aptenodytes_patagonicus
Apyprymnus rufescens,Aepyprymnus_rufescens
Arctictis binturong,Arctictis_binturong
Arizelocichla tephrolaemus,Pycnonotidae
Artibeus jamaicensis,Artibeus_jamaicensis
Artibeus lituratus,Artibeus_lituratus
Arvicola terrestris,Arvicola_amphibius
Asio flammeus,Asio_flammeus
Ateles belzebuth,Ateles_belzebuth
Ateles geoffroyi,Ateles_geoffroyi
Ateles paniscus,Ateles_paniscus
Atheris nitscheri,Atheris_nitschei
Bettongia penicillata,Bettongia_penicillata
Bison bison,Bison_bison
Bison bonasus,Bison_bonasus
Bitis arietans,Bitis_arietans
Bitis gabonica,Bitis_gabonica
Blarina brevicauda,Blarina_brevicauda
Bombycilla cedrorum,Bombycilla_cedrorum
Bos grunniens,Bos_grunniens
Bos javanicus,Bos_gaurus
Bos taurus,Bos_taurus
Boselaphus tragocamelus,Boselaphus_tragocamelus
Brachyphylla nana,Brachyphylla_nana
Brachyteles arachnoides,Brachyteles_arachnoides
Bradypus tridactylus,Bradypus_tridactylus
Bubalus bubalis,Bubalus_bubalis
Bubalus depressicornis,Bubalus_depressicornis
Bubo virginianus,Bubo_virginianus
Bulbalus bubalis,Bubalus_bubalis
Buteo buteo,Buteo_buteo
Buteo jamaicensis,Buteo_jamaicensis
Buteo lagopus,Buteo_lagopus
Buteo platypterus,Buteo_platypterus
Bycanistes bucinator,Bycanistes_bucinator
Cacajao calvus,Cacajao_calvus
Callithrix jacchus,Callithrix_jacchus
Camelus bactrianus,Camelus_bactrianus
Camelus dromedarius,Camelus_dromedarius
Canis familiaris,Canis_lupus
Capra hircus,Capra_hircus
